iter	Passed	Remaining
0	2	241
1	4	229
2	7	227
3	8	206
4	10	206
5	12	203
6	15	199
7	17	197
8	19	194
9	21	196
10	24	198
11	27	198
12	29	196
13	32	199
14	34	197
15	37	196
16	39	193
17	41	191
18	44	189
19	47	188
20	49	185
21	51	183
22	54	181
23	56	179
24	58	176
25	61	175
26	63	172
27	65	169
28	67	166
29	69	163
30	71	159
31	73	157
32	76	154
33	78	152
34	80	149
35	82	146
36	84	143
37	86	140
38	87	137
39	90	135
40	92	132
41	92	128
42	94	125
43	96	122
44	98	120
45	100	117
46	102	115
47	104	113
48	107	111
49	109	109
50	110	106
51	112	104
52	114	101
53	116	99
54	117	96
55	119	94
56	121	91
57	123	89
58	125	87
59	127	84
60	128	82
61	130	80
62	132	77
63	134	75
64	136	73
65	138	71
66	140	69
67	141	66
68	143	64
69	145	62
70	147	60
71	149	58
72	151	55
73	153	53
74	155	51
75	157	49
76	158	47
77	160	45
78	162	43
79	164	41
80	166	39
81	168	36
82	169	34
83	171	32
84	173	30
85	175	28
86	178	26
87	180	24
88	181	22
89	183	20
90	185	18
91	187	16
92	189	14
93	191	12
94	193	10
95	195	8
96	197	6
97	199	4
98	201	2
99	203	0
